All-to-All + FLAT,,,,,,All-to-All + CACHE,,,,,,Quadrant + FLAT,,,,,,Quadrant + CACHE,,,,,,SNC4 + FLAT,,,,,,SNC4 + CACHE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latencies,,,,,,Latencies,,,,,,Latencies,,,,,,Latencies,,,,,,Latencies,,,,,,Latencies,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1 Hit,1 Cycle(s),,,,,L1 Hit,1 Cycle(s),,,,,L1 Hit,1 Cycle(s),,,,,L1 Hit,1 Cycle(s),,,,,L1 Hit,1 Cycle(s),,,,,L1 Hit,1 Cycle(s),,,
L2 Hit,7 Cycle(s),,,,,L2 Hit,7 Cycle(s),,,,,L2 Hit,7 Cycle(s),,,,,L2 Hit,7 Cycle(s),,,,,L2 Hit,7 Cycle(s),,,,,L2 Hit,7 Cycle(s),,,
DRAM Hit,175 Cycle(s),,,,,DRAM Hit,N/A,,,,,DRAM Hit,173 Cycle(s),,,,,DRAM Hit,N/A,,,,,DRAM Hit Local,166 Cycle(s),,,,,DRAM Hit Local,N/A,,,
MCDRAM Hit,220 Cycle(s),,,,,MCDRAM Hit,220 Cycle(s),,,,,MCDRAM Hit,216 Cycle(s),,,,,MCDRAM Hit,215 Cycle(s),,,,,DRAM Hit Remote,180 Cycle(s),,,,,DRAM Hit Remote,N/A,,,
,,,,,,,,,,,,,,,,,,,,,,,,MCDRAM Hit Local,215 Cycles(s),,,,,MCDRAM Hit Local,209 Cycle(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,MCDRAM Hit Remote,226 Cycles(s),,,,,MCDRAM Hit Remote,227 Cycle(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,M,,,,,,M,,,,,,M,,,,,,M,,,,,,M,,,,
Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,
Core0->Core63,34 Cycle(s),,,,,Core0->Core63,34 Cycle(s),,,,,Core0->Core63,34 Cycle(s),,,,,Core0->Core63,34 Cycles(s),,,,,Core0->Core15,33 Cycle(s),,,,,Core0->Core15,33 Cycles(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,Core0->Core63,36 Cycles(s),,,,,Core0->Core63,36 Cycles(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,E,,,,,,E,,,,,,E,,,,,,E,,,,,,E,,,,
Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,,,Core0->Core1,15 Cycle(s),,,
Core0->Core63,34 Cycle(s),,,,,Core0->Core63,34 Cycle(s),,,,,Core0->Core63,34 Cycle(s),,,,,Core0->Core63,34 Cycle(s),,,,,Core0->Core15,33 Cycle(s),,,,,Core0->Core15,32 Cycle(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,Core0->Core63,36 Cycle(s),,,,,Core0->Core63,36 Cycle(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,S,,,,,,S,,,,,,S,,,,,,S,,,,,,S,,,,
Core0->(Core63)->Core1,48 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,,,Core0->(Core63)->Core1,48 Cycle(s),,,,,Core0->(Core63)->Core1,52 Cycle(s),,,
Core0->(Core1)->Core63,52 Cycle(s),,,,,Core0->(Core1)->Core63,56 Cycle(s),,,,,Core0->(Core1)->Core63,56 Cycle(s),,,,,Core0->(Core1)->Core63,56 Cycle(s),,,,,Core0->(Core1)->Core63,54 Cycle(s),,,,,Core0->(Core1/Core15)->Core63,58 Cycle(s),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,,,Bandwidths,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
